full_text,sentiment_label,sentiment_score
gembel loe tau ttg pajak otakmu tdk mencerna akibat dampak kenaikan ppn dasar idioooooot,negative,-14.0
waswas dampak rambatan kenaikan tarif ppn,negative,-6.0
nyari kos udah kaya nyari dampak positif kenaikan ppn susah coyy,negative,-6.0
dampak ekonomi kenaikan ppn diminimalkan golongan memperkenalkan subsidi bantuan social,negative,-3.0
negara pemerintah amp rakyat signifikan kesejahteraan dampak ppn kenaikan produk bahasa kaum konservatif kolot datar datar tidak berani mengambil kebijakan tidak populer pro rakyat,negative,-5.0
menteri umkm pelaku umkm tidak terkena dampak kenaikan ppn mamanabdurrahman ppn umkm,negative,-8.0
iya mengganggu barang elektronik kena ppn barang ponsel televisi kulkas perangkat elektronik terkena dampak kenaikan pajak harga barang meningkat kebijakan pemerintah,negative,-3.0
iya bener nih bijak mengelola keuangan biar ga terkena dampak kenaikan ppn,negative,-4.0
wakil ketua banggar dpr muhidin said harap kenaikan ump tekan dampak ppn persen partaigolkar golkarindonesia golkarpedia bahlillahadalia muhidinmsaid ppnpersen,negative,-3.0
temui prabowo den bahas dampak kenaikan ppn persen,positive,1.0
anggota komisi vi dpr ri herman khaeron penerapan pajak pertambahan nilai ppn rencananya barang mewah dikaji menurutnya konsep kenaikan ppn memiliki dampak positif masyarakat,positive,3.0
menkeu langkah antisipasi dampak kenaikan ppn persen,positive,5.0
ekonom pengusaha dampak akibat kenaikan ppn kenaikan ppn berpotensi menaikkan biaya produksi menurunkan daya beli masyarakat menimbulkan phk massal,negative,-11.0
express isu kenaikan ppn dampak perekonomian indonesia halo fkm kenaikan pajak pertambahan nilai ppn januari beban masyarakat berat perekonomian indonesia diproyeksi melambat,negative,-6.0
dampak kenaikan ppn masyarakat peningkatan harga barang jasa kenaikan harga penurunan daya beli inflasi meningkat kenaikan ppn menambah beban ekonomi masyarakat,negative,-1.0
kenaikan ppn persen menyebabkan dampak berantai ppn bersifat multistage tax dikenakan rantai produksi distribusi ekonomi adadikompas,negative,-1.0
dampak masyarakat kenaikan ppn langsung mempengaruhi harga barang jasa masyarakat kelas menengah biaya hidup teori hirarki kebutuhan maslow teori substitusi harga,positive,9.0
dampak kenaikan ppn gen siapsiap harga langganan platform streaming,positive,4.0
top news dampak kenaikan ppn tenaga industri tekstil cpo baca selengkapnya berita hukum politik ekonomi,positive,3.0
rencana kenaikan tarif pajak pertambahan nilai ppn persen bergulir staf ahli menteri keuangan bidang ekonomi makro keuangan internasional kementerian keuangan kemenkeu parjiono pemerintah memperhatikan dampak kenaikan tarif,negative,-4.0
dampak kenaikan tarif ppn tidak bersifat mikro transaksi dampaknya bersifat makro luas efek domino rantai proses produksi pemimpinpengurusrakyat butuhkepemimpinanislam,negative,-3.0
dampak kenaikan ppn macammacam menekan konsumsi rumah tangga kutip kompas sumber pertumbuhan konsumsi rumah tangga komponen terbesar berkontribusi produk domestik bruto pdb persen sayangnya,negative,-3.0
ya pkp wajib lapor perhatikan mata rantai distribusi logistik bkp dibebaskan tsb manjadi hpp penjualannya terkena dampak kenaikan ppn tsb tidak harga pokok shock,negative,-3.0
pemerintah mempertimbangkan rencana kenaikan pajak pertambahan nilai ppn pasalnya dampak langsungnya daya beli masyarakat mengkoreksi perekonomian indonesia selengkapnya,negative,-6.0
dampak ppn persen memberatkan masyarakat pemerintah mengatasinya secuil bansos masyarakat dikasih bansos batalkan kenaikan ppn persen,positive,3.0
dampak kenaikan ppn persen perekonomian makro kesejahteraan masyarakat dikaji komprehensif opini adadikompas,negative,-1.0
dampak kenaikan ppn persen pengeluaran bulanan kelas menengah bertambah,negative,-12.0
ppn tidak dikenakan sembako kesehatan pendidikan jd dampak kelas menengah kebawah tidak signifikan penghapusan kredit umkm amp kenaikan ump nasional ppn berdampak kelas menengah keatas ditambah cukai minol rokok,negative,-25.0
