conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1865595061821710603,Sun Dec 08 18:40:42 +0000 2024,0,@mas_veel Memang Gembel seperti Loe tau apa ttg pajak???? Saya yakin otakmu tdk mampu mencerna akibat dan dampak kenaikan PPN ini. DASAR IDIOOOOOOT!!!!! https://t.co/NqVV1oNMEO,1865828868952875275,https://pbs.twimg.com/media/GeTBd9gaAAAJXTq.jpg,mas_veel,in,"Jakarta Capital Region, Indone",0,0,0,https://x.com/KadrunD/status/1865828868952875275,1240414504631939072,KadrunD
1865787613606539296,Sun Dec 08 15:56:46 +0000 2024,0,Was-was Dampak Rambatan dari Kenaikan Tarif PPN https://t.co/0trfajxGJP,1865787613606539296,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/InvestorID/status/1865787613606539296,238091066,InvestorID
1865707683812389210,Sun Dec 08 10:39:09 +0000 2024,2,Nyari kos udah kaya nyari dampak positif kenaikan PPN. Susah coyy,1865707683812389210,,,in,,0,0,0,https://x.com/Mahdavia1/status/1865707683812389210,1130706680725946368,Mahdavia1
1865514653838926195,Sun Dec 08 02:14:47 +0000 2024,0,@DJ_ATALIACHAN Dampak ekonomi dari kenaikan PPN bisa diminimalkan bagi golongan bawah dengan memperkenalkan subsidi atau bantuan social,1865580755600199713,,DJ_ATALIACHAN,in,Jakarta Capital Region,0,0,0,https://x.com/Jeannenamira/status/1865580755600199713,1729526800542572544,Jeannenamira
1865556122230542421,Sun Dec 08 00:36:54 +0000 2024,0,Bagi negara pemerintah &amp; rakyat signifikan untuk kesejahteraan Dampak PPN 12% tetap naik di ikut kenaikan produk sebenarnya? BAHASA Kaum konservatif kolot datar datar saja yang tidak berani mengambil kebijakan tidak populer pro rakyat https://t.co/ptTAQC6GYl,1865556122230542421,https://pbs.twimg.com/media/GePJaA2aEAAtr7x.jpg,,in,,1,0,0,https://x.com/AcoyBk/status/1865556122230542421,1359071931153018881,AcoyBk
1865313117988884985,Sat Dec 07 08:31:17 +0000 2024,0,Menteri UMKM: Pelaku UMKM Tidak Terkena Dampak Kenaikan PPN 12% https://t.co/41RUToJYMU #MamanAbdurrahman #PPN #UMKM,1865313117988884985,,,in,"Banten, Indonesia",0,0,0,https://x.com/banten_berita/status/1865313117988884985,1941200143,banten_berita
1865102159643328824,Sat Dec 07 05:40:12 +0000 2024,0,@strbide Iya memang agak mengganggu kalau barang elektronik juga kena PPN 12% mulai 2025. Barang seperti ponsel televisi kulkas dan perangkat elektronik lainnya akan terkena dampak kenaikan pajak ini. Meskipun harga barang akan meningkat ini bagian dari kebijakan pemerintah untuk,1865270063009579383,,strbide,in,dm for business 💌,0,0,0,https://x.com/draftext/status/1865270063009579383,1608052675,draftext
1864616163961131457,Fri Dec 06 19:28:19 +0000 2024,0,@BBCIndonesia Iya bener nih harus bijak dalam mengelola keuangan biar ga terkena dampak kenaikan PPN.,1865116077266768338,,BBCIndonesia,in,Banten,0,0,0,https://x.com/mandyisgreat123/status/1865116077266768338,2517728589,mandyisgreat123
1865073850532397474,Fri Dec 06 16:40:32 +0000 2024,4,WAKIL KETUA BANGGAR DPR MUHIDIN M SAID HARAP KENAIKAN UMP 2025 MAMPU TEKAN DAMPAK PPN 12 PERSEN #partaigolkar #golkarindonesia #golkarpedia #bahlillahadalia #muhidinmsaid #ppn12persen https://t.co/yhwCHYSpH8,1865073850532397474,https://pbs.twimg.com/ext_tw_video_thumb/1865073747331620864/pu/img/8Me8sok5iB7FT1lM.jpg,,in,"DKI Jakarta, Indonesia",0,0,4,https://x.com/golkarpedia/status/1865073850532397474,721898354502930433,golkarpedia
1865006196874236039,Fri Dec 06 12:11:42 +0000 2024,0,Temui Prabowo DEN Bahas Dampak Kenaikan PPN 12 Persen https://t.co/unLArMiqHH,1865006196874236039,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/InvestorID/status/1865006196874236039,238091066,InvestorID
